Datum;Betrag;Verwendungszweck
01.04.2026;-12,34;Baeckerei Mueller
02.04.2026;2500,00;Gehalt
03.04.2026;-49,99;Supermarkt
03.04.2026;-15,80;Tankstelle
04.04.2026;-8,50;Cafe am Dom
04.04.2026;-120,00;Miete Stellplatz
05.04.2026;-34,20;Apotheke
06.04.2026;-55,00;Internet/Telefon
07.04.2026;-22,15;Drogeriemarkt
08.04.2026;15,00;Rückzahlung Mittagessen
08.04.2026;-65,00;Fitnessstudio
09.04.2026;-12,90;Kartenzahlung Kiosk
10.04.2026;-110,45;Wocheneinkauf Supermarkt
11.04.2026;-45,00;Tanken
12.04.2026;-35,00;Restaurantbesuch
13.04.2026;-17,99;Streaming Dienst
14.04.2026;-9,50;Baeckerei Mueller
15.04.2026;-250,00;Versicherung
15.04.2026;-12,00;Parkgebuehren
16.04.2026;-85,30;Baumarkt
17.04.2026;-42,10;Supermarkt
18.04.2026;-15,00;Kinokasse
19.04.2026;-28,40;Mittagessen To-Go
20.04.2026;-210,00;Stromabschlag
21.04.2026;-14,20;Getraenkemarkt
22.04.2026;-5,50;Baeckerei Mueller
23.04.2026;-95,00;Online Shopping Bekleidung
24.04.2026;-33,00;Tanken
25.04.2026;-12,80;Eiscafé
26.04.2026;-156,00;KFZ-Steuer
27.04.2026;-44,90;Supermarkt
28.04.2026;-19,90;Buchhandlung
29.04.2026;-12,50;Reinigung
30.04.2026;-8,20;Baeckerei Mueller
01.05.2026;-850,00;Miete Mai
01.05.2026;-12,34;Baeckerei Mueller
02.05.2026;2500,00;Gehalt
03.05.2026;-52,10;Supermarkt
04.05.2026;-18,50;Pizza Service
05.05.2026;-48,00;Tanken
06.05.2026;-15,90;Apotheke
07.05.2026;-55,00;Internet/Telefon
08.05.2026;-65,00;Fitnessstudio
09.05.2026;-120,40;Wocheneinkauf
10.05.2026;-14,50;Cafe
11.05.2026;-89,00;Schuhgeschäft
12.05.2026;-25,00;Gutschein Geschenk
13.05.2026;-17,99;Streaming Dienst
14.05.2026;-9,20;Baeckerei Mueller
15.05.2026;-11,50;Parken Innenstadt
16.05.2026;-44,00;Supermarkt
17.05.2026;-31,20;Zoofachgeschäft
18.05.2026;-52,00;Tanken
19.05.2026;-13,40;Drogerie
20.05.2026;-150,00;Spende
21.05.2026;-6,80;Baeckerei Mueller
22.05.2026;-98,50;Elektronikmarkt
23.05.2026;-41,20;Supermarkt
24.05.2026;-25,60;Brauhaus
25.05.2026;-19,90;Hobbybedarf
26.05.2026;-12,00;Waschstrasse
27.05.2026;-38,40;Tankstelle
28.05.2026;-7,50;Baeckerei Mueller
29.05.2026;-55,20;Supermarkt
30.05.2026;-22,00;Freibad Eintritt
31.05.2026;-15,00;Kiosk
01.06.2026;-850,00;Miete Juni
01.06.2026;-11,20;Baeckerei Mueller
02.06.2026;2500,00;Gehalt
03.06.2026;-47,80;Supermarkt
04.06.2026;-51,00;Tanken
05.06.2026;-12,40;Cafe am Markt
06.06.2026;-35,00;Blumenladen
07.06.2026;-55,00;Internet/Telefon
08.06.2026;-65,00;Fitnessstudio
09.06.2026;-18,90;Drogerie
10.06.2026;-112,30;Wocheneinkauf
11.06.2026;-14,00;Parkhaus
12.06.2026;-29,50;Papeterie
13.06.2026;-17,99;Streaming Dienst
14.06.2026;-8,90;Baeckerei Mueller
15.06.2026;-45,60;Tankstelle
16.06.2026;-21,40;Apotheke
17.06.2026;-66,00;Friseur
18.06.2026;-39,90;Supermarkt
19.06.2026;-12,50;Eisdiele
20.06.2026;-210,00;Stromabschlag
21.06.2026;-14,80;Getraenkemarkt
22.06.2026;-7,20;Baeckerei Mueller
23.06.2026;-130,00;Fahrradreparatur
24.06.2026;-49,00;Tanken
25.06.2026;-25,00;Kino mit Popcorn
26.06.2026;-58,20;Supermarkt
27.06.2026;-15,40;Post/Briefmarken
28.06.2026;-42,00;Biergarten
29.06.2026;-9,90;Zeitschriften
30.06.2026;-10,50;Baeckerei Mueller
01.07.2026;-850,00;Miete Juli
02.07.2026;2500,00;Gehalt
03.07.2026;-55,40;Supermarkt
